,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,Documentary,Sci-Fi,Drama,N/A,Fantasy,Horror,Thriller,Action,Adventure,War,Comedy,Music,Mystery,History,Biography,Crime,Family,Romance,Western,Sport,News,Animation,Musical,Short,Reality-TV,Game-Show
3025,Below Her Mouth,2016,Not Rated,28 Apr 2017,94 min,"Drama, Romance",April Mullen,Stephanie Fabrizi,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen",An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,English,Canada,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTk0OWY0OGEtODgzOC00YTBiLWI3NWItYmVjZGJmZThmY2IwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.5,"8,699",tt5073620,movie,N/A,N/A,Serendipity Point Films,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3026,Cinta dalam sepotong roti,1992,N/A,23 Apr 1992,100 min,N/A,Garin Nugroho,Garin Nugroho,"Adjie Massaid, Monica Oemardi, Tio Pakusadewo, Rizky Teo",N/A,Indonesian,Indonesia,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,35,tt0101586,movie,N/A,N/A,N/A,N/A,True,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3027,Boys State,2020,N/A,01 Jan 2020,N/A,Documentary,"Amanda McBaine, Jesse Moss",N/A,N/A,A thousand 17-year-old boys from Texas join together to build a representative government from the ground up.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYzdhYWVkOTMtZTU0NS00ZjVhLWFiNTItMmVlNjJkY2UxMDU3XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11095742,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,Morning Funeral,2010,N/A,01 Aug 2010,88 min,"Comedy, Drama","A.J. Detisch, Nick Detisch","A.J. Detisch, Nick Detisch","Jeannie Jenkins, Don Kirsch, Chase Mitchell Klingensmith, Kyle Kunz",Scott is a post-suicidal young man who takes a job selling caskets.,English,USA,2 wins & 1 nomination.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,9,tt1762313,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3029,Down the P.C.H.,2006,N/A,01 Sep 2006,95 min,Drama,Sean Michael Beyer,Sean Michael Beyer,"Vincent Grashaw, Zack Bennett, Guillermo Díaz, Lin Shaye","While serving a two-year prison sentence for supposed drug dealing, twenty-six year old Garrett O'Hara found his politician father and media-conscious mother had all but disowned him. Upon ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTYzMTMwODg5OF5BMl5BanBnXkFtZTcwMzQ2NDA0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,103,tt0457323,movie,27 Mar 2007,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,Uncle Tom's Apartment,2006,N/A,08 Apr 2006,108 min,Drama,David F. Walker,David F. Walker,"Alan Wone, Ted Lange, Gracie Starr, Diana DeVoe",A thirty-something black man finds himself in a life-altering situation when two young white girls-the daughters of his childhood best friend-show up on his doorstep unexpectedly. Faced ...,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,15,tt1019421,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3031,Stemple Pass,2012,N/A,01 Oct 2012,121 min,Documentary,James Benning,N/A,N/A,N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTUzMzk2YTQtMmZkYy00NGMyLTljZmItZmQ4YWViODhmMDMwXkEyXkFqcGdeQXVyMTk2MDc1MjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,59,tt2652874,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032,Magic Hour,2015,N/A,N/A,81 min,Crime,Cole Mueller,Cole Mueller,"Trevor Morgan, C. Thomas Howell, Kris Lemche, William Russ","During a hot summer in 1990, a young man, Ray, moves into his aunt's Venice Beach home to find his direction in life. While there, he is befriended by some local criminals, a group of five brothers that soon become his surrogate family.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzgwODk5NjM1NV5BMl5BanBnXkFtZTgwMjk4NTkyNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,80,tt2302701,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3034,Z for Zachariah,2015,PG-13,13 Aug 2015,98 min,"Drama, Sci-Fi, Thriller",Craig Zobel,"Nissar Modi (screenplay), Robert C. O'Brien (novel)","Chiwetel Ejiofor, Margot Robbie, Chris Pine","In the wake of a disaster that wipes out most of civilization, two men and a young woman find themselves in an emotionally charged love triangle as the last known survivors.",English,"Iceland, Switzerland, USA",3 nominations.,https://m.media-amazon.com/images/M/MV5BMTUwMTUwODUzNV5BMl5BanBnXkFtZTgwMDIxMDE5NTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.0,"26,475",tt1598642,movie,20 Oct 2015,"$118,483",Roadside Attractions,N/A,True,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3035,Julia,2014,R,23 Oct 2015,95 min,"Horror, Thriller",Matthew A. Brown,"Matthew A. Brown, Matthew A. Brown","Ashley C. Williams, Tahyna MacManus, Jack Noseworthy, Joel de la Fuente","A neo-noir revenge thriller centering on Julia Shames, who after suffering a brutal trauma, falls prey to an unorthodox form of therapy to restore herself.",English,USA,14 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMTk1MTUzNDU3MF5BMl5BanBnXkFtZTgwNzAxMDI2MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,4.5,"1,585",tt2582426,movie,N/A,"$2,110",Archstone Distribution,N/A,True,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3036,Birthday Girl,2001,R,01 Feb 2002,93 min,"Comedy, Crime, Thriller",Jez Butterworth,"Tom Butterworth, Jez Butterworth","Nicole Kidman, Ben Chaplin, Vincent Cassel, Mathieu Kassovitz",A thirtysomething bank clerk from St Albans has his small-town life exploded by the arrival of his Russian mail-order bride.,"English, Russian","UK, USA",1 win.,https://m.media-amazon.com/images/M/MV5BNmZhZTcxYTQtNzkxNy00MzlmLTg5NTMtNDU4NDVmNDIwMTBlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.1,"23,662",tt0188453,movie,13 Aug 2002,"$4,919,896",Miramax Films,N/A,True,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3037,Whispers from Poland,2009,N/A,15 Nov 2009,87 min,Drama,Chun Pan,Chun Pan (screenplay),"Joanna Niemirska, Alfred Garcia, Rob Tromp",A Polish woman arrives in America for graduate studies. She falls in love with a Chinese-American man. However she is unwilling to commit to this relationship. She needs to let go of Poland or else risk the love they have for each other.,"English, Polish",USA,N/A,N/A,[],N/A,N/A,N/A,tt1549155,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3038,Shattered Focus,2009,R,30 Sep 2009,90 min,"Drama, Romance",Joshua Tolby,"Andrea Clymire, Danny Donnelly (revised screenplay), Joshua Tolby (screenplay)","Mitch Bauer, Eddie Budnick, Andrea Clymire, Nicholas Creighton",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,7,tt1490758,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3039,The Gypsy Years,2000,N/A,N/A,110 min,"Drama, Romance, Family",Rebecca Cook,Rebecca Cook,"Matthew Del Negro, LG Taylor, Jacqueline Anderson, Christopher Jewett","The story of a group of friends immediately post college, living in their working class hometown, just outside of Boston. A town on the edge of hip, and this side of trendy, but full of ...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,6,tt0371701,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3040,Trolls,2016,PG,04 Nov 2016,92 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Mike Mitchell, Walt Dohrn(co-director)","Jonathan Aibel (screenplay by), Glenn Berger (screenplay by), Erica Rivinoja (story by), Thomas Dam (based on the Good Luck Trolls created by)","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",English,USA,Nominated for 1 Oscar. Another 4 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxNDc3OTcxMV5BMl5BanBnXkFtZTgwODk2NjAzOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.5,"66,100",tt1679335,movie,07 Feb 2017,"$153,694,574",DreamWorks Animation,N/A,True,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3041,The Pogo Film Project,2012,N/A,01 Mar 2013,180 min,Horror,Pete Jacelone,Pete Jacelone,"Jeremy Woodworth, Daylan Ludemann, Brendan Solovey, David Teitel",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA2MzQwNDU5MF5BMl5BanBnXkFtZTcwNTAwNzI0OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,7,tt2767380,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3042,Love & Terror on the Howling Plains of Nowhere,2014,NOT RATED,01 Aug 2014,95 min,"Documentary, Biography, Drama",Dave Jannetta,"Poe Ballantine, Dave Jannetta",N/A,"In an isolated, high-plains community, a brilliant mathematics professor disappears from the local college without a trace. Three months later his body is discovered tied to a tree and ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjMxNDQ4MTA2OV5BMl5BanBnXkFtZTgwODExMTI1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,110,tt2966678,movie,N/A,N/A,N/A,N/A,True,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3043,Lagrimas Inocentes,2016,N/A,05 Mar 2016,95 min,Action,Jorge Ramirez,N/A,"Estrella Almada Cervantes, Sky Cervantes, Diego Nevarez, Reynaldo Huerta",N/A,Spanish,USA,N/A,N/A,[],N/A,N/A,N/A,tt6393736,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3044,Running Out Of Time,2018,TV-14,01 Sep 2018,87 min,Thriller,Chris Stokes,"Chaz Echols, Marques Houston, Chris Stokes","Brandon Anthony, Tyrone Evans Clark, London Deverona, Sean Dominic",Newly widowed Brenda Harper and her family are taken hostage over something from her late husband's past.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDFkNmVkZGQtODk2YS00NWE4LWIzNmItNTUwMzI0NzJhNDI0XkEyXkFqcGdeQXVyMjQzNzk4OTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,379,tt8420952,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3045,Bride of Killer Nerd,1992,N/A,N/A,75 min,"Comedy, Horror","Mark Steven Bosko, Wayne Alan Harold","Mark Steven Bosko, Wayne Alan Harold","Toby Radloff, Michael Anderson, Marc Andreyko, Nina Angeloff","Harold Kunkle has moved to a new city after the unfortunate incidents in ""Killer Nerd."" At a nearby high school, a nerd girl is having similar problems to Kunkle's: rampant anti-nerd ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk4NzU5OTY0M15BMl5BanBnXkFtZTcwNDk3MzYyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,153,tt0103880,movie,14 Nov 2000,N/A,N/A,N/A,True,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3046,A Final Hit,2015,NOT RATED,10 Apr 2015,82 min,"Action, Drama",RJ Cusyk,RJ Cusyk,"Michael Lakota Dillon, Richard Walter Sotelo, Ashley Runyan, Greggory Bogëv Lodin","After retiring from being a hit man due to a physical disability, a man returns for one final job to take care of his struggling family.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTc1NjAxNTM0NF5BMl5BanBnXkFtZTgwNDYxNTI4MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,11,tt3764048,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3047,Nasty Baby,2015,R,30 Oct 2015,101 min,Drama,Sebastián Silva,Sebastián Silva (screenplay),"Sebastián Silva, Kristen Wiig, Tunde Adebimpe, Reg E. Cathey","A close-knit trio navigates the idea of creating life, while at the same time being confronted with a brutal scenario.","English, Spanish","USA, Chile",1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BODM5MDUzNzk1MV5BMl5BanBnXkFtZTgwMDYzMzM4NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,5.6,"2,149",tt3121332,movie,22 Dec 2015,"$79,800",The Orchard,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3048,Historias del desencanto,2005,N/A,08 Oct 2005,120 min,"Comedy, Drama, Fantasy","Felipe Gómez, Alejandro Valle",Alejandro Valle,"Ximena Ayala, Mario Oliver, Fabiana Perzabal, Teresa Rábago","Alejandro Valle's ""Stories of Disenchatment"" is a contemporary fairty tale about two teenagers and their leisurely trip as they run into a woman of darkness and mystery.",Spanish,Mexico,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjM1NzgxMTU0NV5BMl5BanBnXkFtZTgwOTk0MDA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,91,tt0451759,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3049,Cemetery Tales: Tales from Morningview Cemetery,2018,N/A,24 Oct 2018,91 min,Horror,"Heather Christopherson, L.C. Cruell, Andrew Featherstone, Dayna Noffke","Heather Christopherson (screenplay), L.C. Cruell (screenplay), L.C. Cruell (story), Nikkia Lovejoy (screenplay), Nikkia Lovejoy (story), Dayna Noffke (screenplay)","Madeline Brumby, Josh Lowder, Tim McGahren, James Ellis",Hikers on an idyllic trek through the peaceful southern countryside come across an old cemetery where every plot has a story and the day takes a most unexpected and most dreadful turn.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjMyMzc2NTY3NV5BMl5BanBnXkFtZTgwMzA5NjExNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,10,tt2828344,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3050,Crooked Arrows,2012,PG-13,18 May 2012,105 min,"Drama, Sport",Steve Rash,"Brad Riddell, Todd Baird","Brandon Routh, Gil Birmingham, Crystal Allen, Chelsea Ricketts",A story centered on a Native American lacrosse team making its way through a prep school league tournament.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNGY3MTZlZDEtMzM4Zi00NWRhLTk5MWEtNGEzNzc0YzRlNWVmXkEyXkFqcGdeQXVyMTkyNjE1NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.9,"1,776",tt1954352,movie,23 Oct 2012,"$1,700,000",Strategic Films,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3051,To Touch the Soul,2007,N/A,11 Oct 2007,70 min,Documentary,Ryan Goble,"Ryan Goble, Teresa Hagen (story), Erin Henning","Cassandra Hepburn, Saneya Bair, Heather Hamilton, John Lachey","CSULB Professor Carlos Silveira, an artist educator and social activist, wants to bring a sense of joy to impoverished children in Cambodia who are affected by HIV/AIDS. He has recruited 27...",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMTc0NDM3MzgxMF5BMl5BanBnXkFtZTcwMzYwMzU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,5,tt1143916,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3052,Emotional Arithmetic,2007,PG-13,18 Apr 2008,99 min,Drama,Paolo Barzman,"Matt Cohen (novel), Jefferson Lewis","Susan Sarandon, Christopher Plummer, Gabriel Byrne, Roy Dupuis",Semi-retired university professor David Winters and his wife and former student Melanie Winters née Lansing live on a hobby farm in the Eastern Townships of Quebec with their adult son ...,English,Canada,7 nominations.,https://m.media-amazon.com/images/M/MV5BMTkyMDU0MjkyNV5BMl5BanBnXkFtZTgwNDA0MTA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}]",N/A,6.1,"1,242",tt0861704,movie,N/A,N/A,Prorom Media-Trade,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3053,"My Country, My Country",2006,Not Rated,04 Aug 2006,90 min,Documentary,Laura Poitras,Laura Poitras,N/A,Documentary by Oscar winner Laura Poitras about the war in Iraq.,English,USA,Nominated for 1 Oscar. Another 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjRiNmZiMDMtZDcyMS00NjQ0LWE2NjctNzY3MDA4YmJlMzAxXkEyXkFqcGdeQXVyMzE5MDE0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,7.2,257,tt4425258,movie,20 Mar 2007,N/A,Zeitgeist Films,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3054,Terminal Error,2002,PG-13,26 Apr 2002,90 min,"Thriller, Sci-Fi",John Murlowski,T.L. Petrie,"Michael Nouri, Marina Sirtis, Matthew Ewald, David Wells","A disgruntled computer hacker, uses the rebellious son of a major software company president, to create Havoc.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTYyMzBmNTQtZTBkZi00YmYyLTkyOWUtY2YwMDAzM2ZiOWE2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,455,tt0283542,movie,12 Oct 2004,N/A,MTI Home Video,N/A,True,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055,The Proper Care & Feeding of an American Messiah,2006,NOT RATED,01 Jan 2009,95 min,Comedy,Christopher J. Hansen,"Christopher J. Hansen, D.M. Lovic","Dustin Olson, Joseph Frost, Ellen Halper, Tony Hale","'The Proper Care & Feeding of an American Messiah' is the mockumentary story of a man who thinks he is a messiah. Not *the* messiah, but rather a local, regionally selected messiah for his ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTIwODIwNzExNl5BMl5BanBnXkFtZTcwNjc5MTczMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}]",N/A,7.4,44,tt0762127,movie,14 Jun 2016,N/A,Focus Features,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3056,Tales of the Valley of the Wind,2009,N/A,23 May 2009,65 min,Fantasy,Damon Packard,N/A,"Liam Burke, Lance Masa, Yuna Matsumoto, Miyuki Matsunaga",Follows the exploits of six heroes on a journey through the valley of the wind.,Japanese,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDE1YjFmMWEtYjgwNC00YWY1LTg5ZmUtNmE1MDY2OTgxYzM2XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,15,tt1383711,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3057,Le sens de l'humour,2011,N/A,08 Jul 2011,110 min,"Comedy, Crime",Émile Gaudreault,"Émile Gaudreault, Benoît Pelletier","Michel Côté, Louis-José Houde, Benoît Brière, Anne Dorval",Two humorists were kidnapped for committing insulting jokes about a spectator who is a serial killer. They will then learn the sense of humor.,French,Canada,4 nominations.,https://m.media-amazon.com/images/M/MV5BMjExNTQ0NWYtNjMwMS00YjBhLTg5NjUtNTg5NWEwZjRjMTE0XkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,570,tt1686069,movie,N/A,"$3,238,467",Cinémaginaire Inc.,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3058,White Slaves of K-Town,2017,N/A,06 Jan 2017,74 min,Horror,"Felicity Yeung, Billy Hendrickson",Felicity Yeung,"Joan Apperson, Mikhail Gabriel Curri, Andy Dick, Dawna Lee Heising",A diabolical woman runs a dangerous brothel for missing girls.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzE0N2Y2NmItNmY4ZS00ZDQ0LWI0NjctMWVhZjYzMzM4YzU1XkEyXkFqcGdeQXVyMTg4MDkyNDA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6215210,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3059,Nobody's Baby,2001,R,20 Apr 2001,110 min,"Comedy, Drama",David Seltzer,David Seltzer,"Skeet Ulrich, Gary Oldman, Radha Mitchell, Mary Steenburgen","An outlaw, a waitress and her misfit neighbor come upon a baby in the midst of car wreckage. With his former partner in crime out to get him, the outlaw and his new friends put their lives on the line to protect the infant from danger.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTIzOTUxMjUxMV5BMl5BanBnXkFtZTcwMTY5ODQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,6.5,"1,355",tt0215516,movie,20 Aug 2002,N/A,Artisan Home Entertainment,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3060,Off and Running,2009,Not Rated,22 Apr 2009,76 min,Documentary,Nicole Opper,Avery Klein-Cloud,N/A,With white Jewish lesbians for parents and two adopted brothers - one mixed-race and one Korean-Brooklyn teen Avery grew up in a unique and loving household. But when her curiosity about ...,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTk3NTIzNjcwMF5BMl5BanBnXkFtZTgwMjgzNjY2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.2,113,tt1083853,movie,17 Aug 2010,N/A,First Run Features,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3061,Watchtower,2001,R,27 Sep 2008,100 min,"Drama, Romance, Thriller",George Mihalka,"Rod Browning, Robert Geoffrion, Dan Witt","Tom Berenger, Rachel Hayward, Tygh Runyan, Elizabeth Carol Savenkoff",A brother and sister move to a sleepy Oregon town and are befriended by a stranger with a magnetic personality on a summer sabbatical.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTIzOTExNTg1N15BMl5BanBnXkFtZTcwMDUwMjEyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,644,tt0268755,movie,N/A,N/A,Film Movement,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3062,The Cigar Collector,2011,N/A,N/A,90 min,Comedy,JacQues Olet,JacQues Olet,"Anthony Marks, Gretchen Lodge, Ray Wasik, Lauren Francesca","In finding out he has operable oral cancer, the end of the week's surgery will leave Sherman alive, but facially disfigured. With his insurance failing, he decides to help his conman friend...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,8,tt1808541,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
